statenum,year,popul,lpc_viol,lpc_prop,lpc_murd,efamurd,efaviol,efaprop,xxprison,xxpolice,xxunemp,xxincome,xxpover,xxafdc15,xxgunlaw,xxbeer
1,85,3973,1.53272,3.562942,-2.3058619,.00085950003,.0091468999,.036162499,.95266563,.76266283,.089079998,9.7031927,20.6,3077.6289,1,18.700001
1,86,3992,1.734365,3.6342521,-2.278332,.0013463,.0140997,.055097401,.99529117,.79090267,.098329999,9.7459497,23.799999,2805.7781,1,19.299999
1,87,4015,1.73817,3.6783509,-2.357621,.0052518998,.0315466,.1049932,1.0584019,.81891429,.077749997,9.7620916,21.299999,3455.7419,1,19.4
1,88,4024,1.745476,3.7149351,-2.288764,.0096834004,.051824801,.1633016,1.143818,.88033438,.072080001,9.7817698,19.299999,3210,1,19.4
1,89,4030,1.7979029,3.7196901,-2.258889,.022214301,.0880652,.25017679,1.121946,.94103181,.070249997,9.8025274,18.9,3789.4929,1,19.4
1,90,4050,1.9557379,3.7369289,-2.1601429,.0458243,.1378499,.35555169,1.214463,.98910749,.067749999,9.81429,19.200001,3436.729,1,20.1
1,91,4090,2.132936,3.811173,-2.1656981,.081772499,.20478781,.48569709,1.333375,1.031381,.071999997,9.8192596,18.799999,3486.4319,1,20.1
1,92,4138,2.1647501,3.7828979,-2.20767,.1327949,.28639179,.63491219,1.388736,1.0611629,.072999999,9.8452864,17.1,3591.386,1,20.4
1,93,4187,2.054656,3.7131701,-2.157655,.2010943,.3872925,.80241227,1.4093471,1.0648611,.075000003,9.8521605,17.4,3308.4661,1,20.299999
1,94,4219,1.922304,3.74227,-2.1307471,.2859343,.50847429,.98834729,1.467732,1.088048,.059999999,9.8793344,16.4,2944.7109,1,21
1,95,4262.73,1.841993,3.7391169,-2.19435,.39417249,.64310682,1.173354,1.5345531,1.1005861,.063000001,9.9244041,20.1,2571.116,1,20.6
1,96,4290.3999,1.728276,3.7465429,-2.268311,.51801097,.79210341,1.3614759,1.581093,1.146687,.050999999,9.9400272,14,2245.9409,1,21
1,97,4319,1.730698,3.7670629,-2.31634,.65786332,.94516373,1.533093,1.623693,1.179529,.050999999,9.9372702,15.7,2175.4819,1,20.799999
2,85,532,1.7400039,3.948493,-2.3448181,.0081041995,.044875901,.14260089,.92249709,1.051474,.096079998,10.22164,8.6999998,9481.083,0,27.4
2,86,544,1.722635,4.020185,-2.4703081,.0184179,.078508899,.2273047,1.05638,1.0802751,.10908,10.1696,11.4,10272,0,27.700001
2,87,539,1.489751,3.870002,-2.3194239,.0393259,.12778351,.33447021,1.1192321,1.01959,.108,10.1013,12,9768.2285,0,26.700001
2,88,542,1.599052,3.728934,-2.9279699,.072701998,.1890161,.44901401,1.187323,1.159201,.092249997,10.09945,11,9239.5947,0,26.200001
2,89,547,1.567625,3.719795,-2.5667789,.1243887,.26812461,.58172208,1.234141,1.268973,.067419998,10.14316,10.5,10235.54,0,25.9
2,90,554,1.650115,3.8275809,-2.6035931,.1895085,.35100561,.70219368,1.249362,1.262897,.070249997,10.1504,11.4,9701.5977,0,26.6
2,91,569,1.816352,3.9311709,-2.6062109,.27087599,.45840549,.85729492,1.2063169,1.253279,.085000001,10.14376,11.8,9714.6221,0,25.299999
2,92,588,1.88609,3.891959,-2.5925369,.3626096,.56485391,.99188071,1.17364,1.006636,.090999998,10.14395,10,9471.0898,0,25.700001
2,93,599,2.0291581,3.872695,-2.4062779,.46698341,.68192607,1.118691,1.195776,.84948212,.075999998,10.14888,9.1000004,9275.5215,0,23.299999
2,94,606,2.0364511,3.900305,-2.769294,.58354002,.80036682,1.2299221,1.506856,1.015085,.078000002,10.14583,10.2,8648.4297,1,24.700001
2,95,601.34497,2.0467429,3.913012,-2.3918359,.70255238,.91122007,1.313529,1.692371,.96272081,.072999999,10.15354,7.0999999,8391.1895,1,24.5
2,96,604.91803,1.9881231,3.8584089,-2.5984299,.81035602,1.005283,1.372596,1.762777,1.0549721,.078000002,10.14762,8.1999998,9471.0889,1,22.4
2,97,609,1.947551,3.8224111,-2.4228339,.91358322,1.095627,1.428421,1.812615,1.066839,.079000004,10.12643,8.8000002,10298.61,1,23.5
3,85,3184,1.796876,4.1774321,-2.528559,.0011666,.0125391,.0499257,.91348273,1.045493,.065080002,9.8893538,10.7,6353.814,0,29.799999
3,86,3308,1.88717,4.2018871,-2.3772509,.0018663,.0193005,.074711002,.95485902,1.037196,.069250003,9.9277897,14.3,5706.667,0,30.6
3,87,3437,1.797562,4.171061,-2.6089649,.0059774001,.038729701,.1318669,1.0050941,1.058835,.062749997,9.9293137,12.8,5851.7231,0,29.799999
3,88,3535,1.788785,4.2087498,-2.4868889,.0126792,.067142099,.2097583,1.122285,1.060559,.062579997,9.9251328,14.1,5422.2969,0,29.4
3,89,3622,1.772619,4.2937751,-2.726722,.028097499,.1136945,.32059899,1.22743,1.070886,.052250002,9.9155645,14.1,4922.4341,0,29
3,90,3681,1.871154,4.2774091,-2.561965,.058572002,.17838299,.4533543,1.2657731,1.078956,.05325,9.9015169,13.7,4689.7031,0,28.6
3,91,3746,1.904249,4.2109561,-2.5551209,.1073341,.2621744,.60420948,1.323873,1.094165,.057,9.8908491,14.8,4738.8398,0,28
3,92,3832,1.903338,4.1522598,-2.5081389,.1777389,.36874381,.786331,1.380136,1.21918,.074000001,9.903594,15.1,4576.6338,0,28
3,93,3936,1.967098,4.2071891,-2.45192,.26524511,.48365811,.96193922,1.425758,1.2094899,.061999999,9.9097385,15.4,4312.8218,0,28.1
3,94,4075,1.950387,4.2796369,-2.2581871,.37141159,.61874598,1.149345,1.481524,1.229632,.064000003,9.945507,15.9,4218.1001,1,27.200001
3,95,4306.9102,1.944139,4.2966452,-2.2834761,.4972105,.76338333,1.327659,1.5780801,1.211722,.050999999,9.9777288,16.1,4067.0391,1,27.4
3,96,4432.3101,1.841962,4.1634431,-2.464431,.63253278,.91104019,1.488791,1.60041,1.2131,.055,10.00303,20.5,3411.2871,1,27.5
3,97,4555,1.830551,4.185297,-2.4970551,.77789122,1.063307,1.6470439,1.627834,1.2569391,.046,9.9982986,17.200001,3812.083,1,26.9
4,85,2327,1.259432,3.4910359,-2.5212269,.00053720002,.0059329001,.0240697,.65850222,.67003739,.086329997,9.6755266,22.9,4467.5259,0,18.1
4,86,2332,1.3902529,3.5808589,-2.502208,.00086229999,.0090934997,.035713699,.70849931,.67951798,.087580003,9.7059393,21.299999,4612.8892,0,18.700001
4,87,2342,1.435349,3.6657381,-2.554754,.0028170999,.018693401,.064024799,.79401648,.70274931,.081,9.705574,21.799999,5160.5742,0,19
4,88,2343,1.474576,3.6699431,-2.4073291,.0056274999,.031209299,.099587597,.85210508,.71594262,.076669998,9.7215319,21.6,4858.3779,0,18.9
4,89,2346,1.5806381,3.734427,-2.4472611,.0126688,.052941602,.1524305,.91654682,.73268801,.072420001,9.7373695,18.299999,5000.5679,0,19
4,90,2355,1.670068,3.767422,-2.2794991,.027463701,.087551899,.2275137,1.026142,.7495001,.068829998,9.736311,19.6,4474.9072,0,19.9
4,91,2371,1.780875,3.825068,-2.195118,.049270801,.1273765,.30326009,1.127766,.76344138,.072999999,9.7430677,17.299999,4129.561,0,19.9
